State_Name,Year,Population,House_Income,Per_Cap_Income,Pov_Rate,Unemp_Rate,Geo,Lat,Lng,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot,All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries,State
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,1025.4192589496956,31.301185653524946,61.33852801013772,215.548474288372,26.919862224229394,251.5469441954205,20.03191625605802,22.054065531117505,54.092493107841214,13.77589193634274,56.072514273003634,Alabama
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,1019.1000424651347,49.458401019163226,66.68879796706592,225.17474739985303,36.651455610453155,224.58495386129403,14.534197914490047,8.32030170467184,45.245590029455975,24.434303740302113,65.21431412066839,Arizona
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,624.6124213889468,21.10618305843337,41.81214907284456,136.8531650006403,19.12616189327096,150.9871458711082,15.31356794758589,16.57741124449807,35.640380972923424,9.731593386223773,31.806722972289812,Arkansas
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,5054.151472461696,243.39515493033696,281.3525819475994,1189.0448377899256,162.0879028289868,1259.0406923839118,130.5971406809251,54.74547881124585,284.4279339700857,84.17196357435104,227.9973307629569,California
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,685.9088212891876,27.530719817736944,45.30878219430159,148.52265144212944,16.64060340934368,130.11266741710872,13.017585958195436,9.478824726841337,33.8288722473493,19.23148216801364,49.07924803008958,Colorado
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,165.24751107126727,4.2760031545528685,9.689465276326699,40.148088731910185,4.718348308472131,38.10487540190217,2.801519308155328,3.1385441873319087,8.804774968488172,2.2117257695963115,7.119650572605269,Delaware
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,96.66294815883309,2.527686593824356,3.180672297228982,22.53853879493384,3.2017363521775177,24.666008344736014,2.0221492750594847,1.263843296912178,4.402387484244087,0.7793700330958432,3.8968501654792167,District of Columbia
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,3664.640023726552,94.93569565305309,216.51742081600463,877.9708743099416,107.27923185289538,861.9200644391568,51.670126788759546,63.44493350499134,177.16976617213882,60.664478251784544,187.4911530969216,Florida
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,1500.7717869733144,46.72007387585352,80.8227788375338,328.6413853070634,44.6768605458455,332.24333870326313,30.690328060017396,33.09163032415053,75.07229183658337,24.3711115754565,79.7274479802099,Georgia
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,209.01861725432568,4.149618824861651,6.6983694736345445,47.983917172765686,5.560910506413584,48.70009504101593,6.845817858274298,4.233875044655797,13.080778123041046,3.8125939456850704,10.890116408393268,Hawaii
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,529.0448040874377,16.745923684086357,34.69249850023929,114.58845892003748,14.97654306840931,112.20822071085287,13.628443551702983,12.090767540459835,28.183705521141572,8.299237649723302,28.07838524639889,Kansas
